ip_address,domain
185.70.198.12,pl.secretgate.net
185.70.198.27,pl.secretgate.net
123.253.91.10,us-hou.securetunnels.net
123.253.91.18,us-hou.securetunnels.net
123.253.91.2,us-hou.securetunnels.net
123.253.91.26,us-hou.securetunnels.net
45.133.181.42,id.torguard.org
45.133.181.46,id.torguard.org
45.133.181.50,id.torguard.org
185.236.201.210,swiss.torguard.org
185.236.201.215,swiss.torguard.org
195.206.105.12,swiss.torguard.org
195.206.105.17,swiss.torguard.org
195.206.105.2,swiss.torguard.org
195.206.105.22,swiss.torguard.org
195.206.105.27,swiss.torguard.org
195.206.105.32,swiss.torguard.org
195.206.105.37,swiss.torguard.org
195.206.105.42,swiss.torguard.org
195.206.105.47,swiss.torguard.org
195.206.105.52,swiss.torguard.org
195.206.105.57,swiss.torguard.org
195.206.105.7,swiss.torguard.org
217.138.203.242,swiss.torguard.org
178.175.131.106,md.torguard.org
178.175.131.114,md.torguard.org
178.175.138.18,md.torguard.org
185.242.5.162,us-lv.torguard.org
185.242.5.170,us-lv.torguard.org
185.242.5.178,us-lv.torguard.org
185.242.5.186,us-lv.torguard.org
185.242.5.66,us-lv.torguard.org
185.242.5.74,us-lv.torguard.org
185.242.5.82,us-lv.torguard.org
185.242.5.90,us-lv.torguard.org
37.120.147.234,us-lv.torguard.org
37.120.147.242,us-lv.torguard.org
37.120.147.250,us-lv.torguard.org
45.89.173.106,us-lv.torguard.org
45.89.173.114,us-lv.torguard.org
45.89.173.122,us-lv.torguard.org
45.89.173.162,us-lv.torguard.org
45.89.173.98,us-lv.torguard.org
45.9.249.158,uae.torguard.org
45.9.249.238,uae.torguard.org
45.9.250.10,uae.torguard.org
146.70.76.106,middleeast.torguard.org
146.70.76.114,middleeast.torguard.org
146.70.76.58,middleeast.torguard.org
146.70.76.66,middleeast.torguard.org
146.70.76.74,middleeast.torguard.org
146.70.76.90,middleeast.torguard.org
146.70.76.98,middleeast.torguard.org
188.213.34.50,middleeast.torguard.org
188.213.34.58,middleeast.torguard.org
45.133.181.42,middleeast.torguard.org
45.133.181.46,middleeast.torguard.org
45.133.181.50,middleeast.torguard.org
45.9.249.158,middleeast.torguard.org
45.9.249.238,middleeast.torguard.org
45.9.250.10,middleeast.torguard.org
45.133.180.130,br.securetunnels.net
45.133.180.138,br.securetunnels.net
45.133.180.146,br.securetunnels.net
45.133.180.154,br.securetunnels.net
45.133.180.162,br.securetunnels.net
146.70.83.130,uk.torguard.org
146.70.83.146,uk.torguard.org
146.70.83.154,uk.torguard.org
146.70.83.162,uk.torguard.org
146.70.83.170,uk.torguard.org
146.70.83.178,uk.torguard.org
146.70.83.186,uk.torguard.org
146.70.83.194,uk.torguard.org
146.70.83.202,uk.torguard.org
146.70.83.210,uk.torguard.org
146.70.83.218,uk.torguard.org
146.70.83.226,uk.torguard.org
146.70.83.234,uk.torguard.org
146.70.83.242,uk.torguard.org
146.70.83.250,uk.torguard.org
185.253.98.42,uk.torguard.org
37.120.198.162,uk.torguard.org
185.191.204.154,isr-loc1.torguard.org
185.191.204.155,isr-loc1.torguard.org
167.99.116.164,ny.usa.secretgate.net
185.232.21.210,bg.securetunnels.net
185.232.21.242,bg.securetunnels.net
185.232.21.250,bg.securetunnels.net
185.232.21.34,bg.securetunnels.net
185.232.21.42,bg.securetunnels.net
89.249.73.130,bg.securetunnels.net
89.249.73.250,bg.securetunnels.net
45.133.180.10,mx.torguard.org
45.133.180.18,mx.torguard.org
45.133.180.2,mx.torguard.org
45.133.180.26,mx.torguard.org
45.133.180.34,mx.torguard.org
139.28.217.178,nl2.securetunnels.net
139.28.217.186,nl2.securetunnels.net
139.28.217.210,nl2.securetunnels.net
139.28.217.218,nl2.securetunnels.net
139.28.217.242,nl2.securetunnels.net
139.28.217.82,nl2.securetunnels.net
37.120.238.130,nl2.securetunnels.net
77.243.189.194,nl2.securetunnels.net
77.243.189.234,nl2.securetunnels.net
86.106.20.98,nl2.securetunnels.net
95.174.67.130,nl2.securetunnels.net
95.174.67.138,nl2.securetunnels.net
95.174.67.90,nl2.securetunnels.net
139.28.216.218,us-la.torguard.org
139.28.216.74,us-la.torguard.org
146.70.49.10,us-la.torguard.org
146.70.49.106,us-la.torguard.org
146.70.49.18,us-la.torguard.org
146.70.49.2,us-la.torguard.org
146.70.49.26,us-la.torguard.org
146.70.49.34,us-la.torguard.org
146.70.49.42,us-la.torguard.org
146.70.49.58,us-la.torguard.org
146.70.49.66,us-la.torguard.org
146.70.49.74,us-la.torguard.org
146.70.49.98,us-la.torguard.org
185.253.161.186,us-la.torguard.org
217.138.217.2,us-la.torguard.org
37.120.147.130,us-la.torguard.org
37.120.214.114,us-la.torguard.org
37.120.214.122,us-la.torguard.org
91.219.212.242,us-la.torguard.org
103.108.94.58,nz.torguard.org
103.231.90.18,nz.torguard.org
103.231.90.2,nz.torguard.org
103.231.90.202,nz.torguard.org
103.231.90.26,nz.torguard.org
103.231.90.42,nz.torguard.org
185.128.27.106,it.securetunnels.net
192.145.127.190,it.securetunnels.net
45.9.251.14,it.securetunnels.net
45.9.251.178,it.securetunnels.net
45.9.251.182,it.securetunnels.net
167.88.15.50,us-chi-loc2.torguard.org
167.88.3.210,us-chi-loc2.torguard.org
